A Track               	$15-25k   
Adventure Club        	$15-20k   
Alexis Jordan         	$10-15k  
Alien Ant Farm        	$10-20k   
Andrew Allen          	$15-25k   
Arrested Developmen   	$15-20k   
Asher Roth            	$17.5-25k 
Augustan              	$15-20k   
Baby Bash             	$10-20k   
Beenie Man            	$15-20k   
Ben Kweller (band)    	$10-15k   
Ben Rector            	$10-20k   
Between the Trees     	$10k+     
Biz Markie            	$10-15k   
Blake Lewis           	$10k+    
Blaq Audio            	$10-15k   
Bobby Valentino       	$12-20k   
Bowling For Soup      	$15-20k   
Breathe Carolina      	$15-25k   
Brooke Valentine      	$15-20k   
Can Money             	 $15k     
Candlebox             	$15-20k   
Cartel                	$15-25k   
Charlie Mars          	$10k+    
Chuck Leaven          	$15-25k   
Churchill             	$15-25k   
Clap Your Hands Say   	$15k+     
Chpse                 	$15-20k   
Cloud Cult            	$10-20k   
Clutch                	$10-20k   
Colby O'Donis         	$15-20k   
Colt Ford             	$15-30k   
Cowboy Mouth          	$15-20k   
Cracker               	$10-20k    
Crystal Bowersox      	$10-20k+  
Cults                 	$12-15k    
Cute Is What We Aim   	$15-20k    
Danny Brown           	$10k+      
David Banner          	$10-20k    
De La Soul            	$15-20k    
Default               	$10k+      
Disco Biscuits        	$10-15k    
Drowning Pool         	$10-20k    
Duncan Sheik          	$10-20k    
Dustin Lynch          	$15-25k    
Edwin McCain          	$10-20k    
Emerson Drive         	 $15k      
Eric Hutchinson       	$15-20k    
Eve 6                 	$15-20k    
Everlast              	$15-20k    
Family Force Five     	$15-20k    
Fastball              	$10-15k    
Filter                	$10-20k    
Five For Fighting (sol	$15-25k    
Flobots               	$15-20k    
Forever the Sickest ID	$10-15k    
Four Year Strong      	$10k+      
Freelance Whales      	 $15k      
Fuel                  	$10-15k    
Hal Ketchum           	$10-20k    
Hellogoodbye        	$12.5-17.5k  
Holy Ghost!           	$10-20k    
Howie Day             	$10-20k    
Indigo Girls          	$15-20k    
Jake Miller           	$10 -15k   
James Otto            	$10-20k    
Jefferson Starship   	$15-25k 
Jeremih	$12.5-17.5k
Jon McLaughlin       	$10k-15k+
Jonathan Davis of Ka 	$10-20k
Josh Gracin          	$10-20k
Josh Thompson        	$15-25k
Joshua Radin         	$10-15k
Junior Doctor        	$10-20k+
Justin Nozuka        	$10-20k
Kaki King            	$10k+
Kate Voegele         	$10k+
King Chip The Ripper 	$10-20k
Kopecky Family Baru  	$10-15k
Kreayshawn           	$10-25k
Kris Allen           	$10-20k
Le Cashe Vania       	$10-20k
Lee DeWyze           	$10-15k
Less Than Jake       	$15-20k
Lights               	$10-15k
LIT                  	$10-20k
Ludo                 	$10-20k
Marc Broussard       	$15-20k+
Marc Colin           	$10-15k
Max Weinberg Big Ba 	$15-20k+
Mayday Parade        	$15-25k
MIMS                 	$10k+
Mindy Smith          	$10-20k
N. Miss All-Stars    	$10-15k
New Boyz             	$15-20k
Noah & the Whale     	$10-15k
Of Montreal          	$15-25k
Parachute            	$15-20k
Pat Travers          	$15-20k
Paul Wall            	$10-20k   
Perpetual Groove     	$10-15k   
Pleasure P           	$15-20k   
Portugal the Man     	$10-15k   
Presidents of the USA	$15-20k   
Quiet Riot           	$12.5-25k 
Ra Ra Riot           	$10-20k   
Rakim               	$15-20k+ 
Rebirth Brass Band   	$10-15k   
Red Jumpsuit Apparat 	$15-25k   
Redlight King        	$15-25k+ 
Reel Big Fish        	$15-20k   
Rev Theory           	$10-20k   
RhettAtkins          	$10-15k   
Rogue Wave           	$15-20k   
Rooney               	$12.5-20k 
Rusted Root          	$12.5-20k 
Sea Wolf             	$10k+    
Secondhand Serenade 	$10-17.5k 
Shawn Mullins        	$10-15k   
Shooter Jennings     	$15-20k   
Shwayze              	$10-15k   
Sister Hazel         	$15-25k   
Slum Village         	$15-20k   
Solange Knowles      	$10-20k   
St. Lucia            	$10-15k   
State Radio          	$15-25k   
Steel Train          	$15-20k+  
Steven Marley        	$15-20k
Story of the Year    	$10-15k
Sugarcult            	$10k+
Super Mash Bros      	$15-20k
Surfer Blood         	$10-15k
Tame Impala         	$10k+
The Antlers         	$10-15k
The Black Angels    	  $10k
The Cool Kids       	$12.5-20k
The Crystal Method  	$10-15k
The Dear Hunter     	$10-15k
The Fenn            	$10-15k
The Fratellis       	$15-25k
The Hush Sound      	$15-20k
The Morning Benders 	$15-20k
The Ready Set       	$10-15k
The Summer Set      	$10-15k
The Weenies         	  $15k
This Providence     	$10k+
Tom Morello         	$10 -20k
Tone Loc            	$10k+
Tristan Prettyman   	$10-20k+
Twists              	$10-15k
 Uncle Kracker     	 $15-20k+
Unwritten Law       	$10-20k
Vanessa Carlton     	$12-15k+
Wade Bowen	$10-20k
Watsky              	$10-20k
We Are The In Crowd 	$10-15k
We The Kings        	$15-25k
Ying Yang Twins     	$10-15k
Yung Berg           	$15-20k
Yung Joc          	$15-20k
