name,lower,upper,plus
The Hush Sound,15.0,20.0,0
The Killers,500.0,500.0,1
The Lonely Forest,5.0,5.0,0
The Lost Trailers,7.0,10.0,0
The Lumineers,150.0,250.0,1
The Morning Benders,15.0,20.0,0
The National,30.0,40.0,1
The Neighborhood,40.0,60.0,1
The Offspring,100.0,100.0,1
The Ready Set,10.0,15.0,0
The Roots,60.0,80.0,1
The Script,125.0,175.0,1
The Starting Line,40.0,60.0,1
The Stone Foxes,5.0,5.0,0
The Summer Set,10.0,15.0,0
The Temper Trap,25.0,35.0,0
The Ting Tings,40.0,50.0,1
The Toasters,3.0,5.0,0
The Trews,3.0,5.0,0
The Verve Pipe,7.0,10.0,0
The Wailers,20.0,30.0,1
The Wallflowers,35.0,50.0,0
The Wanted,85.0,125.0,0
The Weenies,15.0,15.0,0
The Well Reds,1.0,2.0,0
The Working Title,2.5,5.0,0
Theory of a Deadman,40.0,75.0,0
Third Eye Blind,65.0,75.0,0
This Providence,5.0,5.0,0
This Providence,10.0,10.0,1
Thompson Square,40.0,50.0,0
Three 6 Mafia,25.0,40.0,0
Three Days Grace,75.0,100.0,0
Tiesto,200.0,400.0,1
Tim McGraw,500.0,500.0,1
Timeflies,40.0,60.0,1
Tipper,7.5,7.5,0
Toby Keith,350.0,500.0,0
Toby Mac,40.0,60.0,1
Tom Morello,10.0,20.0,0
Tone Loc,10.0,10.0,1
Toots & the Maytals,25.0,30.0,0
Tori Amos,50.0,100.0,0
Tracy Lawrence,40.0,60.0,0
Train,200.0,300.0,1
Travie McCoy (GCH),40.0,40.0,1
Travis Porter,20.0,30.0,0
Travis Tritt,75.0,100.0,0
Trey Songz,85.0,100.0,1
Trisha Yearwood,75.0,100.0,0
Tristan Prettyman,10.0,20.0,1
Triving Ivory,7.5,10.0,0
Trombone Shorty,40.0,50.0,1
Twists,10.0,15.0,0
Tyga,50.0,50.0,1
Tyler Hilton,5.0,10.0,0
Tyler James,2.5,5.0,0
"Tyler, The Creator",50.0,50.0,1
Umphree's McGee,25.0,30.0,1
Uncle Kracker,15.0,20.0,1
Uncle Lucius,5.0,5.0,0
Unwritten Law,10.0,20.0,0
Usher,150.0,250.0,1
Vampire Weekend,100.0,200.0,1
Vanessa Carlton,12.0,15.0,1
VersaEmerge,5.0,5.0,1
Vertical Horizon,20.0,30.0,0
Vienna Teng,5.0,10.0,0
Wade Bowen,10.0,20.0,0
Waka Flocka Flame,20.0,25.0,0
Wale,50.0,50.0,1
Walk Off The Earth,20.0,30.0,0
Walk The Moon,40.0,60.0,0
Wallpaper,5.0,10.0,0
Watsky,10.0,20.0,0
Wavves,5.0,10.0,0
We Are Scientists,7.0,10.0,1
We Are The Fallen,5.0,10.0,0
We Are The In Crowd,10.0,15.0,0
We The Kings,15.0,25.0,0
Weezer,100.0,150.0,0
Westland,1.0,1.0,1
What Made Milwauke,5.0,5.0,0
Wheeler Brothers,5.0,5.0,0
White Panda,20.0,25.0,0
Who's Bad,7.5,10.0,0
Wild Cub,20.0,40.0,0
Will Hoge,7.5,10.0,1
Willie Nelson,100.0,200.0,0
Wiz Khalifa,150.0,250.0,1
Wyclef,70.0,100.0,0
Xzibit,25.0,30.0,1
Yeasayer,20.0,30.0,0
Yelawolf,20.0,20.0,1
Ying Yang Twins,10.0,15.0,0
Yo Gotti,20.0,40.0,0
Young Jeezy,75.0,100.0,0
Young The Giant,70.0,100.0,0
Yung Berg,15.0,20.0,0
Yung Joc,15.0,20.0,0
Zac Brown Band,250.0,400.0,1
Ziggy Marley,75.0,100.0,1
