name,lower,upper,plus
Citizen Cope,30.0,40.0,0
Clap Your Hands Say,15.0,15.0,1
Clay Aiken,85.0,100.0,1
Clint Black,75.0,75.0,1
Cloud Cult,10.0,20.0,0
Clutch,10.0,20.0,0
Cobra Starship,40.0,60.0,0
Coheed & Cambria,40.0,50.0,1
Colbie Callait,50.0,75.0,0
Colby O'Donis,15.0,20.0,0
Cold War Kids,30.0,40.0,1
Coldplay,750.0,750.0,1
Collective Soul,30.0,40.0,1
Colt Ford,15.0,30.0,0
Common,40.0,50.0,0
Confederate Railroad,7.5,7.5,0
Connor Cruise,5.0,5.0,0
Coolio,20.0,20.0,1
Corey Smith,20.0,30.0,1
Counting Crows,150.0,150.0,1
Cowboy Mouth,15.0,20.0,0
Cowboy Troy,3.5,10.0,0
Coyote Kisses,5.0,10.0,0
Cracker,10.0,20.0,0
Craig Morgan,35.0,50.0,0
Creed,100.0,100.0,1
Creedence Clearwater,50.0,60.0,0
Crystal Bowersox,10.0,20.0,1
Cults,12.0,15.0,0
Cute Is What We Aim,15.0,20.0,0
DJ Earworm,7.0,10.0,1
DJ Farcoh,5.0,10.0,0
DJ Green Lantern,5.0,10.0,0
DJ Logic,4.0,7.0,0
DJ Pauly D,40.0,60.0,1
DJ Red Foo,100.0,150.0,0
DJ Shadow,25.0,25.0,0
DJ Skribble,7.0,10.0,0
Da Brat,20.0,30.0,0
Damian Marley,100.0,100.0,1
Danny Brown,10.0,10.0,1
Danny Gokey,30.0,30.0,1
Dar Williams,7.5,10.0,1
Darius Rucker,90.0,125.0,0
Darry Miller & Veil,3.0,5.0,0
Daryl Worley,30.0,50.0,0
Dashboard Confessio,40.0,50.0,0
Daughtry,200.0,300.0,1
Dave Barnes,7.0,10.0,0
Dave Matthews,1000.0,1000.0,1
Dave Matthews Trib,5.0,10.0,0
David Archuletta,30.0,50.0,1
David Banner,10.0,20.0,0
David Cook,20.0,40.0,0
David Crosby & Grah,35.0,50.0,0
David Gray,100.0,200.0,0
David Guetta,150.0,250.0,0
Days Difference,5.0,10.0,0
De La Soul,15.0,20.0,0
Dead Confederate,2.5,5.0,0
Deadmau5,200.0,250.0,1
Dear Tick,5.0,10.0,0
Death Cab For Cutie,85.0,125.0,0
Decemberists,60.0,90.0,0
Default,10.0,10.0,1
Demi Lovato,100.0,200.0,1
Dennis,3.5,5.0,0
Devotchka,25.0,25.0,0
Diamond Rio,40.0,60.0,1
Dierks Bentley,100.0,150.0,0
Dionne Warwick,50.0,50.0,1
Dirt Dozen Brass Ban,10.0,10.0,0
Dirty Heads,5.0,10.0,0
Disco Biscuits,10.0,15.0,0
Dispatch,75.0,100.0,1
Disturbed,50.0,75.0,0
Divine Fits,25.0,30.0,0
Don Williams,50.0,50.0,0
Drake,300.0,500.0,1
Drew Davis Band,5.0,10.0,0
Drive By Truckers,20.0,30.0,0
Drop City Yacht Club,20.0,40.0,0
Dropkick Murphys,50.0,75.0,0
Dropping Daylight,5.0,10.0,0
Drowning Pool,10.0,20.0,0
Duncan Sheik,10.0,20.0,0
Dustin Lynch,15.0,25.0,0
E-603,3.0,4.0,0
Eagles of Death Meta,35.0,45.0,0
Easton Corbin,40.0,60.0,1
Ed Shereen,125.0,125.0,1
Editors,25.0,35.0,0
Edward Sharpe & Ma,50.0,50.0,1
Edwin McCain,10.0,20.0,0
Eli Young Band,75.0,75.0,1
Ellie Goulding,100.0,200.0,0
Elvis Crespo,35.0,50.0,0
Emerson Drive,15.0,15.0,0
Eric Church,150.0,200.0,1
Eric Hutchinson,15.0,20.0,0
Erykah Badu,75.0,100.0,0
Evans Blue,5.0,10.0,1
Eve 6,15.0,20.0,0
Everclear,20.0,20.0,1
Everlast,15.0,20.0,0
Every Avenue,5.0,5.0,1
Fabolous,25.0,40.0,0
Faith Evans,35.0,50.0,0
Faith Hill,500.0,500.0,1
Fall Out Boy,100.0,150.0,1
Family Force Five,15.0,20.0,0
Fang Island,5.0,10.0,0
Fantasia,100.0,100.0,1
Fastball,10.0,15.0,0
Fat Joe,30.0,50.0,0
Feed Me,25.0,40.0,0
Feist,50.0,60.0,0
Filter,10.0,20.0,0
Finger Eleven,25.0,30.0,0
Fitz & the Tantrums,30.0,50.0,0
Five Finger Death Pu,50.0,75.0,0
Five For Fighting (sol,15.0,25.0,0
Flatbush Zombies,5.0,5.0,0
Flo Rida,100.0,150.0,1
Flobots,15.0,20.0,0
Flogging Molly,25.0,40.0,0
Florence & the Machi,150.0,250.0,1
Florida Georgia Line,250.0,500.0,0
Flyleaf,30.0,40.0,0
Fonseca,50.0,50.0,0
Foo Fighters,500.0,500.0,1
